Unnamed: 0,print_log,optimization_dict,use_strength,strength,datetime_from,datetime_before,one_lot_size,fast_ma_period,slow_ma_period,drawdown_len,drawdown_drawdown,drawdown_moneydown,drawdown_max_len,drawdown_max_drawdown,drawdown_max_moneydown,returns_rtot,returns_ravg,returns_rnorm,returns_rnorm100,sharperatio_sharperatio,cluster
24,False,"{'use_strength': True, 'strength': 0.0004, 'fast_ma_period': 1, 'slow_ma_period': 4}",True,0.0004,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,4,6123,11.01839663451408,22223.5,6123.0,11.305216552756768,22802.0,-0.1083037315604871,-1.735636723725755e-05,-1.7356216616387125e-05,-0.0017356216616387,None,0
25,False,"{'use_strength': True, 'strength': 0.0005, 'fast_ma_period': 1, 'slow_ma_period': 4}",True,0.0005,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,4,5815,9.76125283411594,19696.5,5815.0,10.040266128133014,20259.5,-0.0938382636046635,-1.5038183269978126e-05,-1.50380701970669e-05,-0.0015038070197066,None,0
26,False,"{'use_strength': True, 'strength': 0.0006000000000000001, 'fast_ma_period': 1, 'slow_ma_period': 4}",True,0.0006,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,4,5815,8.20276041344309,16566.5,5815.0,8.48152503558829,17129.5,-0.0758232886220562,-1.2151168048406446e-05,-1.2151094223262996e-05,-0.0012151094223262,None,0
27,False,"{'use_strength': True, 'strength': 0.0007, 'fast_ma_period': 1, 'slow_ma_period': 4}",True,0.0007,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,4,5935,7.313980300227114,14765.5,5935.0,7.313980300227114,14765.5,-0.0665939654499841,-1.0672109847753873e-05,-1.067205290099215e-05,-0.0010672052900992,None,0
28,False,"{'use_strength': True, 'strength': 0.0008, 'fast_ma_period': 1, 'slow_ma_period': 4}",True,0.0008,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,4,5935,4.943937923382243,9958.5,5935.0,4.980427298023865,10032.0,-0.0435862281629228,-6.984972462006874e-06,-6.984948067143525e-06,-0.0006984948067143,None,1
29,False,"{'use_strength': True, 'strength': 0.0009000000000000001, 'fast_ma_period': 1, 'slow_ma_period': 4}",True,0.0009,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,4,6123,3.865342541614827,7782.5,6123.0,3.865342541614827,7782.5,-0.0327401573896722,-5.246820094498753e-06,-5.246806329962274e-06,-0.0005246806329962,None,1
30,False,"{'use_strength': False, 'strength': 0.0, 'fast_ma_period': 1, 'slow_ma_period': 5}",False,0.0,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,5,6155,11.178140788727791,22578.0,6155.0,11.498959073389658,23226.0,-0.108668759645231,-1.7414865327761387e-05,-1.7414713689874447e-05,-0.0017414713689874,None,0
31,False,"{'use_strength': True, 'strength': 0.0001, 'fast_ma_period': 1, 'slow_ma_period': 5}",True,0.0001,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,5,6155,11.791062141214503,23816.0,6155.0,12.111880425876372,24464.0,-0.1155932474935096,-1.8524558893190656e-05,-1.852438731460904e-05,-0.0018524387314609,None,0
32,False,"{'use_strength': True, 'strength': 0.0002, 'fast_ma_period': 1, 'slow_ma_period': 5}",True,0.0002,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,5,6155,10.293124141600366,20797.0,6155.0,10.613840804761256,21445.0,-0.0984373141963678,-1.5775210608392282e-05,-1.5775086180411705e-05,-0.0015775086180411,None,0
33,False,"{'use_strength': True, 'strength': 0.00030000000000000003, 'fast_ma_period': 1, 'slow_ma_period': 5}",True,0.0003,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,5,5920,10.144751186393538,20426.0,5920.0,10.466586042399756,21074.0,-0.1002651855946561,-1.6068138717092337e-05,-1.6068009625242842e-05,-0.0016068009625242,None,0
34,False,"{'use_strength': True, 'strength': 0.0004, 'fast_ma_period': 1, 'slow_ma_period': 5}",True,0.0004,0001-01-01 00:00:00,9999-12-31 23:59:59.999999,100000,1,5,5920,8.68639810673434,17508.0,5920.0,9.007896048998669,18156.0,-0.0831180567154678,-1.3320201396709598e-05,-1.3320112683220867e-05,-0.001332011268322,None,0
