Datetime,Open,High,Low,Close,Volume(Millions)
2021-02-04 00:00:00,1.7449,1.75486,1.7349,1.75342,181718.369879663
2021-02-05 00:00:00,1.75333,1.75595,1.74993,1.75158,136104.5798561573
2021-02-07 00:00:00,1.75158,1.75278,1.74973,1.75297,11244.139946222305
2021-02-08 00:00:00,1.7528,1.75328,1.74748,1.75094,136558.73000907898
2021-02-09 00:00:00,1.75089,1.75893,1.75045,1.75416,134086.8799392581
2021-02-10 00:00:00,1.75421,1.75918,1.7528,1.75598,142515.98005580902
2021-02-11 00:00:00,1.75596,1.75777,1.75098,1.754,126106.58990103006
2021-02-12 00:00:00,1.75386,1.76136,1.75369,1.75837,108177.51995563507
2021-02-14 00:00:00,1.75837,1.75959,1.75643,1.75965,12509.049976825714
2021-02-15 00:00:00,1.75962,1.7624,1.75604,1.75801,96321.67997294664
2021-02-16 00:00:00,1.75796,1.76656,1.75747,1.76508,147472.2099661827
2021-02-17 00:00:00,1.76499,1.76525,1.75905,1.76084,150714.09004116058
2021-02-18 00:00:00,1.76083,1.77474,1.75828,1.7711,142525.92008918524
2021-02-19 00:00:00,1.77105,1.7743,1.76543,1.76654,134973.40001487732
2021-02-21 00:00:00,1.76654,1.76841,1.76621,1.76768,14773.610045909882
2021-02-22 00:00:00,1.76737,1.77498,1.76515,1.77408,143284.8299882412
2021-02-23 00:00:00,1.77392,1.77829,1.77084,1.77814,153721.69984269142
2021-02-24 00:00:00,1.7781,1.78569,1.76693,1.76993,186909.17009416223
2021-02-25 00:00:00,1.7699,1.77107,1.76181,1.76639,237112.75019097328
2021-02-26 00:00:00,1.76623,1.7752,1.75511,1.77272,378079.07009124756
2021-02-28 00:00:00,1.77272,1.77543,1.7723,1.77411,14776.12993979454
2021-03-01 00:00:00,1.77411,1.77767,1.75988,1.76058,279031.98011517525
2021-03-02 00:00:00,1.76058,1.76491,1.75623,1.76318,289860.6600586176
2021-03-03 00:00:00,1.7631,1.76652,1.76014,1.76449,298930.95022428036
2021-03-04 00:00:00,1.76436,1.76769,1.75737,1.76148,373155.7894253731
2021-03-05 00:00:00,1.76146,1.76165,1.74833,1.75068,327485.7697467804
2021-03-07 00:00:00,1.75068,1.75125,1.74578,1.74969,15047.36997961998
2021-03-08 00:00:00,1.74948,1.75634,1.74799,1.74965,297858.0900859833
2021-03-09 00:00:00,1.7495,1.75886,1.74776,1.75608,262682.09958672523
2021-03-10 00:00:00,1.7561,1.76023,1.75312,1.75805,255304.5998468399
2021-03-11 00:00:00,1.758,1.75948,1.75163,1.75341,219007.22996544838
2021-03-12 00:00:00,1.75342,1.75378,1.73432,1.73578,213897.9900894165
2021-03-14 00:00:00,1.73578,1.73755,1.73578,1.73678,6265.140008807182
2021-03-15 00:00:00,1.73677,1.73809,1.73071,1.73404,196199.50997018814
2021-03-16 00:00:00,1.73405,1.73405,1.72348,1.72974,189668.5299922228
2021-03-17 00:00:00,1.72974,1.73487,1.72828,1.73117,204614.15018749237
2021-03-18 00:00:00,1.73113,1.74334,1.72822,1.7394,246222.21994423866
2021-03-19 00:00:00,1.73939,1.74029,1.73207,1.73257,195846.3101081848
2021-03-21 00:00:00,1.73257,1.73389,1.73172,1.73237,6783.359981536865
2021-03-22 00:00:00,1.73236,1.73653,1.7271,1.73542,147088.15010094643
2021-03-23 00:00:00,1.73518,1.73743,1.7252,1.72863,189951.60998046398
2021-03-24 00:00:00,1.72847,1.72971,1.71982,1.72188,169803.92009019852
2021-03-25 00:00:00,1.72173,1.73372,1.71773,1.7326,173032.12018156052
2021-03-26 00:00:00,1.73254,1.73788,1.72824,1.73365,139922.24977779388
2021-03-28 00:00:00,1.73365,1.73535,1.7318,1.73538,5516.6499727368355
2021-03-29 00:00:00,1.73535,1.7442,1.73175,1.73433,144052.3101322651
2021-03-30 00:00:00,1.73404,1.73615,1.73105,1.73479,148750.12998759747
2021-03-31 00:00:00,1.73483,1.73763,1.72998,1.73198,154614.99990183115
2021-04-01 00:00:00,1.73196,1.739,1.73047,1.7356,159917.73987871408
2021-04-02 00:00:00,1.73561,1.73886,1.73364,1.73768,122574.26987338066
2021-04-04 00:00:00,1.73768,1.73876,1.73625,1.73764,5379.309986807406
2021-04-05 00:00:00,1.73754,1.7426,1.73698,1.74173,135436.719835639
2021-04-06 00:00:00,1.74171,1.74433,1.73324,1.73865,167669.76010656357
2021-04-07 00:00:00,1.73859,1.74244,1.73105,1.73313,201415.14994442463
2021-04-08 00:00:00,1.73314,1.7356,1.72398,1.72533,155773.26009690762
2021-04-09 00:00:00,1.72527,1.72757,1.71608,1.71621,178704.11987257004
2021-04-11 00:00:00,1.71621,1.71918,1.71506,1.71803,6607.5000067949295
2021-04-12 00:00:00,1.71796,1.72772,1.71732,1.72772,177382.44973814487
2021-04-13 00:00:00,1.7277,1.73317,1.72204,1.7249,181339.33989143372
2021-04-14 00:00:00,1.7248,1.73233,1.72369,1.72451,176790.93995392323
2021-04-15 00:00:00,1.72444,1.73023,1.71958,1.7291,205302.0099566877
2021-04-16 00:00:00,1.72907,1.73129,1.71742,1.73129,194906.88001585007
2021-04-18 00:00:00,1.73129,1.73129,1.72763,1.72963,4030.2300016880035
2021-04-19 00:00:00,1.72967,1.75426,1.72882,1.7521,231546.849979043
2021-04-20 00:00:00,1.75209,1.75847,1.74623,1.75776,224730.53012108803
2021-04-21 00:00:00,1.75773,1.758,1.73588,1.74197,238631.38022780418
2021-04-22 00:00:00,1.74181,1.74289,1.72702,1.73018,224940.46998000145
2021-04-23 00:00:00,1.73008,1.73518,1.72861,1.73089,173105.07004737854
2021-04-25 00:00:00,1.73089,1.73204,1.72926,1.73153,4789.960007742047
2021-04-26 00:00:00,1.7315,1.7359,1.72008,1.7224,212116.77027857304
2021-04-27 00:00:00,1.72226,1.7271,1.72049,1.72483,170165.65009891987
2021-04-28 00:00:00,1.72477,1.72482,1.71521,1.71681,209249.8498250842
2021-04-29 00:00:00,1.71667,1.71855,1.70997,1.7126,204927.21981179714
2021-04-30 00:00:00,1.71241,1.71306,1.69527,1.69661,210971.25004386902
2021-05-02 00:00:00,1.69661,1.69762,1.69522,1.69684,3845.570000708103
2021-05-03 00:00:00,1.69681,1.71042,1.69614,1.70725,198857.7797369957
2021-05-04 00:00:00,1.70724,1.71166,1.7038,1.70824,239385.6098498106
2021-05-05 00:00:00,1.70819,1.71094,1.70387,1.7063,194480.3502742648
2021-05-06 00:00:00,1.70628,1.70666,1.68561,1.68899,178737.00985506177
2021-05-07 00:00:00,1.68893,1.70072,1.68869,1.69573,217984.67026376724
2021-05-09 00:00:00,1.69573,1.70129,1.69573,1.70109,7150.719999074936
2021-05-10 00:00:00,1.70105,1.71311,1.69923,1.70886,229299.84992408752
2021-05-11 00:00:00,1.70885,1.71463,1.70688,1.70993,240823.160040617
2021-05-12 00:00:00,1.70989,1.71183,1.70112,1.70437,286423.2399892807
2021-05-13 00:00:00,1.70429,1.71053,1.70062,1.70938,233745.92990970612
2021-05-14 00:00:00,1.70936,1.71005,1.70305,1.70565,186177.47995853424
2021-05-16 00:00:00,1.70565,1.7082,1.70565,1.7079,4315.399993121624
2021-05-17 00:00:00,1.70783,1.70967,1.70306,1.70635,182994.23997855186
2021-05-18 00:00:00,1.70635,1.71337,1.70499,1.71272,132582.62982034683
2021-05-19 00:00:00,1.71266,1.71488,1.70704,1.71139,220354.04991722107
2021-05-20 00:00:00,1.71128,1.71384,1.70709,1.71112,186587.469922781
2021-05-21 00:00:00,1.71099,1.71511,1.7058,1.70623,202610.77982914448
2021-05-23 00:00:00,1.70623,1.70794,1.70476,1.70659,5384.039987176657
2021-05-24 00:00:00,1.70657,1.7101,1.70295,1.7056,164645.81007778645
2021-05-25 00:00:00,1.70556,1.70969,1.7027,1.70647,204018.41971290112
2021-05-26 00:00:00,1.70637,1.71417,1.70409,1.71209,230123.99995326996
2021-05-27 00:00:00,1.71207,1.71542,1.70789,1.7143,234445.21007490158
2021-05-28 00:00:00,1.7143,1.71652,1.70744,1.71272,257856.939827919
2021-05-30 00:00:00,1.71272,1.71323,1.70955,1.71263,3961.7600123882294
2021-05-31 00:00:00,1.71252,1.71741,1.70942,1.71579,163422.68008041382
2021-06-01 00:00:00,1.71576,1.71653,1.70144,1.70854,232480.5099979639
